$Tomato_Root;;
$Tomato_Root$C;;
;Value;groups
0;-31.55;a
1;-33.17143;b
3;-35.36286;c
7;-36.35571;c
9;-37.38;d
11;-37.97286;d
14;-37.51429;d
;;
$Tomato_Root$Fe;;
;Value;groups
0;-33.18143;a
1;-34.25143;b
3;-36.22286;c
7;-37.02;d
9;-37.68286;de
11;-37.98714;e
14;-38.14;e
;;
$Tomato_Root$P;;
;Value;groups
0;-32.66571;a
1;-33.01429;a
3;-35.25429;b
7;-35.46143;b
9;-35.30143;b
11;-35.29143;b
14;-35.23571;b
;;
$Tomato_Root$`P/Fe`;;
;Value;groups
0;-32.72857;a
1;-33.68857;a
3;-36.08429;b
7;-36.29;b
9;-36.47857;b
11;-36.58714;b
14;-36.27571;b
;;
;;
$Tomato_Shoot;;
$Tomato_Shoot$C;;
;Value;groups
0;-34.16286;a
1;-36.83857;b
3;-38.30143;cd
7;-37.91429;c
9;-38.74429;de
11;-39.35429;e
14;-39.02286;de
;;
$Tomato_Shoot$Fe;;
;Value;groups
0;-35.50143;a
1;-37.45;b
3;-38.17286;bc
7;-38.01857;bc
9;-38.58;cd
11;-39.03429;d
14;-39.11286;d
;;
$Tomato_Shoot$P;;
;Value;groups
0;-35.63286;a
1;-37.20571;b
3;-38.27;c
7;-36.85286;b
9;-36.77714;b
11;-36.69143;b
14;-36.72;b
;;
$Tomato_Shoot$`P/Fe`;;
;Value;groups
0;-35.28429;a
1;-35.82857;ab
3;-37.84857;c
7;-37.18;c
9;-37.29143;c
11;-37.35;c
14;-36.87286;bc
;;
;;
$Cucumber_Root;;
$Cucumber_Root$C;;
;Value;groups
0;-31.26429;a
2;-33.71571;b
5;-34.38286;bc
7;-35.20714;c
9;-34.17714;bc
12;-34.7;bc
14;-34.68857;bc
;;
$Cucumber_Root$Fe;;
;Value;groups
0;-31.51714;a
2;-34.04429;b
5;-33.92429;b
7;-34.95;b
9;-34.36143;b
12;-34.31;b
14;-34.61857;b
;;
$Cucumber_Root$P;;
;Value;groups
0;-31.54;a
2;-33.32286;bcd
5;-34.14714;cd
7;-34.82286;d
9;-34.23286;cd
12;-32.88286;abc
14;-32.32;ab
;;
$Cucumber_Root$`P/Fe`;;
;Value;groups
0;-32.26;a
2;-33.05;abc
5;-34.36143;c
7;-34.63286;c
9;-34.15714;bc
12;-32.94571;abc
14;-32.40714;ab
;;
;;
$Cucumber_Shoot;;
$Cucumber_Shoot$C;;
;Value;groups
0;-32.65714;a
2;-34.65;b
5;-35.22857;bc
7;-36.17286;c
9;-36.2;c
12;-36.21286;c
14;-35.88286;c
;;
$Cucumber_Shoot$Fe;;
;Value;groups
0;-32.58571;a
2;-34.78714;b
5;-35.40286;bc
7;-35.99714;cd
9;-36.40857;d
12;-36.13143;cd
14;-36.38857;d
;;
$Cucumber_Shoot$P;;
;Value;groups
0;-32.98286;a
2;-34.57571;bc
5;-35.32;cd
7;-35.96857;d
9;-36.27714;d
12;-34.15286;abc
14;-33.78429;ab
;;
$Cucumber_Shoot$`P/Fe`;;
;Value;groups
0;-33.34143;a
2;-34.35857;ab
5;-35.11286;bc
7;-35.76;bc
9;-35.93571;c
12;-34.53;abc
14;-34.63571;abc
;;
;;
$Maize_Root;;
$Maize_Root$C;;
;Value;groups
0;-12.20714;a
2;-13.43143;b
4;-13.58286;b
7;-14.59571;c
9;-15.66;d
11;-15.99;d
14;-16.17857;d
;;
$Maize_Root$Fe;;
;Value;groups
0;-12.48286;a
2;-13.43143;ab
4;-13.63571;ab
7;-14.47;bc
9;-15.26286;cd
11;-15.19714;c
14;-16.41143;d
;;
$Maize_Root$P;;
;Value;groups
0;-12.48429;a
2;-13.21714;a
4;-13.28143;a
7;-14.88571;b
9;-15.76571;bc
11;-15.54;bc
14;-15.98571;c
;;
$Maize_Root$`P/Fe`;;
;Value;groups
0;-12.24571;a
2;-13.70857;b
4;-13.88571;bc
7;-14.82857;cd
9;-15.28;d
11;-15.37143;d
14;-16.73857;e
;;
;;
$Maize_Shoot;;
$Maize_Shoot$C;;
;Value;groups
0;-13.42;a
2;-15.96714;b
4;-16.33571;bc
7;-16.84857;c
9;-17.77714;d
11;-17.85857;d
14;-17.85571;d
;;
$Maize_Shoot$Fe;;
;Value;groups
0;-13.25571;a
2;-15.97143;bc
4;-15.24571;b
7;-16.11571;c
9;-16.61286;cd
11;-16.34286;c
14;-17.15;d
;;
$Maize_Shoot$P;;
;Value;groups
0;-13.55714;a
2;-15.82143;b
4;-16.20143;bc
7;-16.86286;cd
9;-17.88286;e
11;-17.46;de
14;-17.96143;e
;;
$Maize_Shoot$`P/Fe`;;
;Value;groups
0;-12.89429;a
2;-15.70429;b
4;-15.72143;b
7;-16.34857;bc
9;-16.94143;c
11;-17.20143;c
14;-17.31286;c
;;
;;
$Barley_Root;;
$Barley_Root$C;;
;Value;groups
0;-27.37;a
2;-28.73714;a
4;-31.50429;b
7;-34.00143;c
9;-34.75143;c
11;-34.87429;cd
14;-36.55;d
;;
$Barley_Root$Fe;;
;Value;groups
0;-27.71429;a
2;-28.78286;a
4;-31.69857;b
7;-33.32;bc
9;-34.92714;cd
11;-34.30571;cd
14;-35.74857;d
;;
$Barley_Root$P;;
;Value;groups
0;-27.83143;a
2;-29.84;b
4;-33.01286;c
7;-34.65286;cd
9;-35.18143;d
11;-35.89286;de
14;-37.31;e
;;
$Barley_Root$`P/Fe`;;
;Value;groups
0;-27.48714;a
2;-30.84286;b
4;-32.44;b
7;-35.18857;c
9;-35.86286;cd
11;-35.91143;cd
14;-37.67714;d
;;
;;
$Barley_Shoot;;
$Barley_Shoot$C;;
;Value;groups
0;-31.16429;a
2;-32.73429;b
4;-35.51571;c
7;-37.21286;d
9;-38.11286;d
11;-38.23714;d
14;-39.32857;e
;;
$Barley_Shoot$Fe;;
;Value;groups
0;-30.89571;a
2;-33.39571;b
4;-35.33;c
7;-37.16143;d
9;-37.93857;d
11;-38.20714;d
14;-39.31571;e
;;
$Barley_Shoot$P;;
;Value;groups
0;-31.05429;a
2;-33.56286;b
4;-35.41;c
7;-37.44;d
9;-38.15571;de
11;-38.59429;ef
14;-39.10286;f
;;
$Barley_Shoot$`P/Fe`;;
;Value;groups
0;-31.06429;a
2;-33.57714;b
4;-35.67429;c
7;-37.62857;d
9;-38.15;d
11;-38.46857;de
14;-39.06857;e
