$Barley;;;;;;;;;;
;value;groups;;;;;;;;
Fe;0.1034;a;107%;fe vs average all ;;;;;;
P;0.06565;b;56%;P vs C + P/Fe;;;;;;
P.Fe;0.0482;c;;;;;;;;
C;0.0361;c;;;;;;;;
;;;;;;;;;;
$Cucumber;;;;;;;;;;
;value;groups;;;;;;;;
Fe;0.06292857;a;71%;fe vs average all ;;;;;;
C;0.04771429;b;53%;C vs P + P/Fe;;;;;;
P.Fe;0.03428571;c;-34%;;;;;;;
P;0.02828571;c;;;;;;;;
;;;;;;;;;;
$Maize;;;;;;;;;;
;value;groups;;;;;;;;
P.Fe;0.01425;a;;;;;;;;
P;0.013625;a;;;;;;;;
C;0.0135;a;;;;;;;;
Fe;0.01042857;a;;;;;;;;
;;;;;;;;;;
$Tomato;;;;;;;;;;
;value;groups;;;;;;;;
C;0.01622727;a;181%;P + P/Fe vs C + Fe;;;;;;
Fe;0.014;a;;;;;;;;
P.Fe;0.006;b;-64%;;;;;;;
P;0.00473913;b;;;;;;;;
